image,width,height,operations,mode,runtime_ms
test_100x100.png,100,100,mirrored+blur+sharpen+edge,sekvencno,94
test_100x100.png,100,100,mirrored+blur+sharpen+edge,vecnitno,28
test_200x200.png,200,200,mirrored+blur+sharpen+edge,sekvencno,54
test_200x200.png,200,200,mirrored+blur+sharpen+edge,vecnitno,23
test_300x300.png,300,300,mirrored+blur+sharpen+edge,sekvencno,98
test_300x300.png,300,300,mirrored+blur+sharpen+edge,vecnitno,59
test_400x400.png,400,400,mirrored+blur+sharpen+edge,sekvencno,144
test_400x400.png,400,400,mirrored+blur+sharpen+edge,vecnitno,66
test_500x500.png,500,500,mirrored+blur+sharpen+edge,sekvencno,212
test_500x500.png,500,500,mirrored+blur+sharpen+edge,vecnitno,100
test_600x600.png,600,600,mirrored+blur+sharpen+edge,sekvencno,252
test_600x600.png,600,600,mirrored+blur+sharpen+edge,vecnitno,113
test_700x700.png,700,700,mirrored+blur+sharpen+edge,sekvencno,310
test_700x700.png,700,700,mirrored+blur+sharpen+edge,vecnitno,157
test_800x800.png,800,800,mirrored+blur+sharpen+edge,sekvencno,394
test_800x800.png,800,800,mirrored+blur+sharpen+edge,vecnitno,160
test_900x900.png,900,900,mirrored+blur+sharpen+edge,sekvencno,473
test_900x900.png,900,900,mirrored+blur+sharpen+edge,vecnitno,220
test_1000x1000.png,1000,1000,mirrored+blur+sharpen+edge,sekvencno,568
test_1000x1000.png,1000,1000,mirrored+blur+sharpen+edge,vecnitno,258
